Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,Latitude,Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
263,01-10-15 8:39,01-10-15 8:43,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24639,Subscriber,1967,2,4
236,01-10-15 8:40,01-10-15 8:44,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24422,Subscriber,1975,1,4
282,01-10-15 8:41,01-10-15 8:45,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24504,Subscriber,1989,2,5
156,01-10-15 8:41,01-10-15 8:43,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,24436,Subscriber,1978,1,3
139,01-10-15 8:41,01-10-15 8:44,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24570,Subscriber,1972,1,2
335,01-10-15 8:42,01-10-15 8:48,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24527,Subscriber,1983,1,6
334,01-10-15 8:42,01-10-15 8:48,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24495,Subscriber,1988,2,6
629,01-10-15 8:42,01-10-15 8:53,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24688,Subscriber,1989,1,10
814,01-10-15 8:42,01-10-15 8:56,3190,Garfield Ave Station,40.71046702,-74.0700388,3186,Grove St PATH,40.71958612,-74.04311746,24650,Subscriber,1988,1,14
391,01-10-15 8:43,01-10-15 8:49,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,24612,Subscriber,1982,2,7
528,01-10-15 8:43,01-10-15 8:52,3209,Brunswick St,40.7241765,-74.0506564,3183,Exchange Place,40.7162469,-74.0334588,24493,Subscriber,1949,1,9
203,01-10-15 8:46,01-10-15 8:49,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24386,Subscriber,1985,1,3
407,01-10-15 8:46,01-10-15 8:52,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24635,Subscriber,1978,2,7
1732,01-10-15 8:46,01-10-15 9:15,3197,North St,40.752559,-74.044725,3197,North St,40.752559,-74.044725,24595,Customer,1984,0,29
227,01-10-15 8:47,01-10-15 8:51,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24472,Subscriber,1964,1,4
273,01-10-15 8:48,01-10-15 8:53,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24487,Subscriber,1984,1,5
267,01-10-15 8:49,01-10-15 8:53,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24655,Subscriber,1972,1,4
542,01-10-15 8:50,01-10-15 8:59,3211,Newark Ave,40.72152515,-74.04630454,3183,Exchange Place,40.7162469,-74.0334588,24436,Subscriber,1980,1,9
441,01-10-15 8:50,01-10-15 8:57,3202,Newport PATH,40.7272235,-74.0337589,3186,Grove St PATH,40.71958612,-74.04311746,24531,Subscriber,1993,1,7
306,01-10-15 8:53,01-10-15 8:58,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24466,Subscriber,1971,1,5
1329,01-10-15 8:56,01-10-15 9:18,3193,Lincoln Park,40.7246051,-74.07840595,3214,Essex Light Rail,40.7127742,-74.0364857,24501,Customer,1984,0,22
